game_date,team_home,team_away,most_common_total_line,average_total_line,most_common_moneyline_home,average_moneyline_home,most_common_moneyline_away,average_moneyline_away,most_common_spread_home,average_spread_home,most_common_spread_away,average_spread_away,average_total_over_money,average_total_under_money,most_common_total_over_money,most_common_total_under_money,season_year
2025-12-19 03:00:00+00:00,Portland Trail Blazers,Sacramento Kings,238.9999,229.8845,350.0001,284.7016,-279.9999,-232.6922,9.0001,7.1539,-8.9999,-7.1538,,,,,2025
2025-12-19 02:00:00+00:00,Utah Jazz,Los Angeles Lakers,242.4999,233.1922,-309.9999,-234.2307,385.0001,289.2562,-8.9999,-6.5768,9.0001,6.577,,,,,2025
2025-12-19 02:00:00+00:00,Phoenix Suns,Golden State Warriors,229.4999,219.3332,-109.9999,-84.3845,130.0001,97.7778,-1.4999,-1.2499,1.5001,1.2501,,,,,2025
2025-12-19 02:00:00+00:00,Denver Nuggets,Orlando Magic,237.4999,228.3461,265.0001,187.487,-214.9999,-149.923,6.5001,4.2308,-6.4999,-4.2307,,,,,2025
2025-12-19 01:30:00+00:00,Dallas Mavericks,Detroit Pistons,230.4999,221.6537,-179.9999,-119.1538,215.0001,146.197,-5.9999,-3.7692,6.0001,3.7693,,,,,2025
2025-12-19 01:00:00+00:00,San Antonio Spurs,Washington Wizards,241.4999,231.9614,1200.0001,799.3847,-724.9999,-507.0769,15.5001,10.1155,-15.4999,-10.1153,,,,,2025
2025-12-19 01:00:00+00:00,Oklahoma City Thunder,Los Angeles Clippers,222.4999,213.6153,1600.0001,1009.077,-899.9999,-618.3845,17.0001,11.1924,-16.9999,-11.1922,,,,,2025
2025-12-19 01:00:00+00:00,New Orleans Pelicans,Houston Rockets,235.9999,226.6153,-319.9999,-226.4615,410.0001,286.7801,-9.4999,-6.2692,9.5001,6.2693,,,,,2025
2025-12-19 01:00:00+00:00,Milwaukee Bucks,Toronto Raptors,218.4999,209.9614,-149.9999,-101.8461,175.0001,123.0001,-3.9999,-2.6922,4.0001,2.6924,,,,,2025
2025-12-19 00:30:00+00:00,Brooklyn Nets,Miami Heat,228.4999,220.5768,-236.9999,-199.6153,290.0001,238.3847,-7.9999,-6.8076,8.0001,6.8078,,,,,2025
2025-12-19 00:00:00+00:00,Indiana Pacers,New York Knicks,226.4999,226.3461,-139.9999,-117.8461,160.0001,135.5016,-3.4999,-2.9615,3.5001,2.9616,,,,,2025
2025-12-19 00:00:00+00:00,Charlotte Hornets,Atlanta Hawks,240.4999,231.4614,-151.9999,-127.2307,172.0001,151.3847,-4.4999,-3.6922,4.5001,3.6924,,,,,2025
2025-12-18 01:00:00+00:00,Minnesota Timberwolves,Memphis Grizzlies,226.9999,218.1666,265.0001,243.9662,-224.9999,-204.2307,6.5001,6.4584,-6.4999,-6.4582,,,,,2025
2025-12-18 01:00:00+00:00,Chicago Bulls,Cleveland Cavaliers,243.4999,232.0416,-182.9999,-167.923,215.0001,196.0001,-5.4999,-4.3461,5.5001,4.3462,,,,,2025
2025-12-17 01:30:00+00:00,NY Knicks,SA Spurs,233.4999,233.7726,135.0001,126.3334,-114.9999,-107.4999,2.5001,1.8637,-2.4999,-1.8635,,,,,2025
